Comparison Of Encapsolation Energies,Energy of Optimized Geometry of N2@C60,,Energy of Optimized Geometry of C60,,Energy of Optimized Geometry of N2,,Encapsolation Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Method used,Def2TZV (Hartree),6-31G** (Hartree),Def2TZV (Hartree),6-31G** (Hartree),Def2TZV (Hartree),6-31G** (Hartree),Def2TZV (Hartree),6-31G** (Hartree),Def2TZV  (kcal/mol),6-31G** (kcal/mol),,,,,,,,,,,,,,,,,,,,,,,,,,,,
B3LYP-GD3BJ,-2395.9970475000000,-2396.0386489000000,-2286.4589847000000,-2286.4904502000000,-109.5127696000000,-109.5248812000000,-0.0252931999998,-0.0233175000003,-15.871483,-14.63173125,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B3LYP,-2395.6433829000000,-2395.6854602000000,-2286.1420392000000,-2286.1741969000000,-109.5120171000000,-109.5241287000000,0.0106734000002,0.0128654000001,6.6975585,8.0730385,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN15,-2392.9996270000000,-2393.0746723000000,-2283.5784191000000,-2283.6423078000000,-109.3834710000000,-109.4015160000000,-0.0377369000004,-0.0308485000004,-23.67990475,-19.35743375,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PW6B95,-2399.0582385000000,-2399.1013176000000,-2289.3995731000000,-2289.4260802000000,-109.6397762000000,-109.6559194000000,-0.0188891999998,-0.0193180000002,-11.852973,-12.122045,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PW6B95D3,-2399.1838288000000,-2399.2266129000000,-2289.5110011000000,-2289.5372797000000,-109.6399582000000,-109.6561013000000,-0.0328694999997,-0.0332319000000,-20.62561125,-20.85301725,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cam-B3LYP,-2394.3762776000000,-2394.4213141000000,-2284.9116964000000,-2284.9449659000000,-109.4650404000000,-109.4791554000000,0.0004592000001,0.0028072000001,0.288148,1.761518,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PBEh1PBE,-2393.2681371000000,-2393.3579501000000,-2283.8751029000000,-2283.9483468000000,-109.3937052000000,-109.4115760000000,0.0006710000001,0.0019726999999,0.4210525,1.23786925,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APFD,-2393.9147265000000,-2393.9932682000000,-2284.4698192000000,-2284.5326970000000,-109.4149656000000,-109.4318282000000,-0.0299417000001,-0.0287429999998,-18.78841675,-18.0362325,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wB97XD,-2394.8972471000000,-2394.9598896000000,-2285.4085656000000,-2285.4556514000000,-109.4693736000000,-109.4850516000000,-0.0193079000000,-0.0191866000001,-12.11570725,-12.0395915,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hartree to kcal/mol conversion factor,,N2 equilibrium bond length (In the fullerene),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
627.5,,1.108478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Caculations below done using B3LYP-GD3BJ/def2QZV counterpoise corrected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy as a function of Theta for Phi=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theta angle (degrees),0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125,130,135,140,145,150,155,160,165,170,175,,
