Atom,X(Angstroms),Y(Angstroms),Z(Angstroms)
Carbon,-1.180822,0.383672,3.34062103
Carbon,0,1.24159,3.34062103
Carbon,0,2.425057,2.60454003
Carbon,-1.179474,2.807877,1.83546603
Carbon,-2.305972,1.989428,1.83546603
Carbon,-2.306366,0.749384,2.60454003
Carbon,-0.729788,-1.004467,3.34062103
Carbon,0.729788,-1.004467,3.34062103
Carbon,1.180822,0.383672,3.34062103
Carbon,2.306366,0.749384,2.60454003
Carbon,1.179474,2.807877,1.83546603
Carbon,-0.728983,3.426501,0.59288503
Carbon,-1.424287,3.200583,-0.59288503
Carbon,-2.603807,2.343612,-0.59288503
Carbon,-3.033528,1.752151,0.59288503
Carbon,-3.484064,0.365543,0.59288503
Carbon,-3.034927,-0.254065,1.83546603
Carbon,-2.604644,-1.578343,1.83546603
Carbon,-1.425413,-1.961912,2.60454003
Carbon,1.425413,-1.961912,2.60454003
Carbon,0.696214,-2.964898,1.83546603
Carbon,-0.696214,-2.964898,1.83546603
Carbon,-1.424287,-3.200583,0.59288503
Carbon,-2.603807,-2.343612,0.59288503
Carbon,-3.033528,-1.752151,-0.59288503
Carbon,-3.484064,-0.365543,-0.59288503
Carbon,-3.034927,0.254065,-1.83546603
Carbon,-2.604644,1.578343,-1.83546603
Carbon,0.728983,3.426501,0.59288503
Carbon,0.729788,1.004467,-3.34062103
Carbon,1.425413,1.961912,-2.60454003
Carbon,2.604644,1.578343,-1.83546603
Carbon,3.034927,0.254065,-1.83546603
Carbon,2.306366,-0.749384,-2.60454003
Carbon,0,-1.24159,-3.34062103
Carbon,-1.180822,-0.383672,-3.34062103
Carbon,-0.729788,1.004467,-3.34062103
Carbon,-1.425413,1.961912,-2.60454003
Carbon,-0.696214,2.964898,-1.83546603
Carbon,0.696214,2.964898,-1.83546603
Carbon,2.603807,2.343612,-0.59288503
Carbon,3.033528,1.752151,0.59288503
Carbon,3.484064,0.365543,0.59288503
Carbon,3.484064,-0.365543,-0.59288503
Carbon,3.033528,-1.752151,-0.59288503
Carbon,2.305972,-1.989428,-1.83546603
Carbon,1.179474,-2.807877,-1.83546603
Carbon,0,-2.425057,-2.60454003
Carbon,-2.306366,-0.749384,-2.60454003
Carbon,-2.305972,-1.989428,-1.83546603
Carbon,-1.179474,-2.807877,-1.83546603
Carbon,-0.728983,-3.426501,-0.59288503
Carbon,0.728983,-3.426501,-0.59288503
Carbon,1.424287,-3.200583,0.59288503
Carbon,2.603807,-2.343612,0.59288503
Carbon,2.604644,-1.578343,1.83546603
Carbon,3.034927,-0.254065,1.83546603
Carbon,1.424287,3.200583,-0.59288503
Carbon,2.305972,1.989428,1.83546603
Carbon,1.180822,-0.383672,-3.34062103
Nitrogen,0,0,0.55385003
Nitrogen,0,0,-0.55385003
